sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,reason
sim_id,param,param,param,param,param,param,param,param,param,param,param,reason
0.0,2.17750565796,2.82536382401,1.90166467028,31.4061054253,1.71700267826,-0.3333333333333333,18.145806764,0.519555157295,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
1.0,2.13215509699,2.89611547052,1.89189182341,28.5632157746,1.9282037543,-0.3333333333333333,18.9090823494,0.716133096078,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
2.0,2.18242117634,2.63705779617,1.82191305778,27.6808177741,1.86824338821,-0.3333333333333333,18.3697438162,0.674874790477,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
3.0,2.19867592242,2.61540218295,1.89669864781,24.1806317834,1.75860655545,-0.3333333333333333,19.5779813181,0.88363148724,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
4.0,2.16037742678,2.50173348584,1.99431283052,26.6076359842,1.77469439161,-0.3333333333333333,18.6440511884,0.804950379859,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
5.0,2.11942593271,2.90932503336,1.67377376994,22.5853879631,1.86315426091,-0.3333333333333333,17.8548107194,0.528813627312,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
6.0,2.17562707773,2.45987797125,1.89952899666,25.1461189699,1.889236347,-0.3333333333333333,17.7264682341,0.876869141019,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
7.0,2.18819645156,2.47848032316,1.91205389034,21.2590088179,1.88684698859,-0.3333333333333333,10.7111770794,0.957633179739,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
8.0,2.10064137751,2.19237649192,1.95305855678,21.1443270921,1.88837855835,-0.3333333333333333,14.0118151877,0.880152747129,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
9.0,2.19756174566,2.44300813874,1.90474831285,23.5218650855,1.60196405694,-0.3333333333333333,13.8294629512,0.879773576507,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
10.0,2.12365396121,2.77222380255,1.95370853729,28.6725503468,1.74840064496,-0.3333333333333333,17.3879934221,0.83248641961,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
11.0,2.17173498894,2.08439737536,1.99524084171,24.255959134,1.9509750392,-0.3333333333333333,8.18417351837,0.58581201561,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
12.0,2.14087048428,2.4265848893,1.83542556973,22.0617492292,1.89734430526,-0.3333333333333333,10.7857269289,0.771925830801,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
13.0,2.19660919923,2.90019590072,1.89406815878,26.8807604121,1.89834238013,-0.3333333333333333,9.15696933238,0.594510958527,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
14.0,2.10700952357,2.71850502208,1.84576616618,23.0686970415,1.35755532215,-0.3333333333333333,19.724925571,0.648878593686,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
15.0,2.15845189932,2.80473251713,1.96389115011,22.7532802517,1.7369569899,-0.3333333333333333,16.4547878433,0.813338559091,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
16.0,2.17210409225,2.63857597463,1.88849598301,28.8233592908,1.9272948592,-0.3333333333333333,12.5526257716,0.923873662464,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
17.0,2.16109804069,2.93922901933,1.79387340917,25.2649372779,1.72984414698,-0.3333333333333333,15.1723560897,0.501229425288,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
18.0,2.17054280421,2.04714226841,1.99918834479,23.2634147879,1.69853104241,-0.3333333333333333,16.9133149748,0.573310964793,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
19.0,2.15325442288,2.63060664348,1.91476908314,31.8343312375,1.94259707058,-0.3333333333333333,17.5127293718,0.955627815334,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
20.0,2.17197458454,2.8286196152,1.79789988003,29.1251608592,1.98276491942,-0.3333333333333333,13.219938392,0.521031231174,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
21.0,2.19631411415,2.99329446673,1.97216387298,25.0454158692,1.93535055221,-0.3333333333333333,9.81217250036,0.573437165825,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
22.0,2.12684013507,2.44251828034,1.95254097511,21.2511898478,1.83185258569,-0.3333333333333333,16.5462096059,0.800537358326,4.0,0.0,0.0,PypospackTaskManagerError: simulation time exceeded
